ExecuteDtTm,t,n,SortTime,CombineTime
09/03/2013 06:25:15,1,40000000,12501,2613
09/03/2013 06:25:43,1,50000000,15523,3842
09/03/2013 06:26:09,1,50000000,15312,3556
09/03/2013 06:26:36,1,50000000,15134,3407
09/03/2013 06:27:02,1,50000000,15526,3331
09/03/2013 06:27:29,1,50000000,14942,3603
09/03/2013 06:27:56,1,50000000,15580,3562
09/03/2013 06:28:22,1,50000000,15182,3616
09/03/2013 06:28:49,1,50000000,15082,3607
09/03/2013 06:29:15,1,50000000,15289,3405
09/03/2013 06:29:42,1,50000000,15195,3374
09/03/2013 06:30:13,1,60000000,18247,4049
09/03/2013 06:30:44,1,60000000,18432,3938
09/03/2013 06:31:16,1,60000000,18770,4233
09/03/2013 06:31:47,1,60000000,18569,3908
09/03/2013 06:32:18,1,60000000,17874,3917
09/03/2013 06:32:50,1,60000000,18623,4001
09/03/2013 06:33:20,1,60000000,18153,4167
09/03/2013 06:33:52,1,60000000,18617,3896
09/03/2013 06:34:23,1,60000000,18315,4160
09/03/2013 06:34:54,1,60000000,17932,3888
09/03/2013 06:35:29,1,70000000,21413,4497
09/03/2013 06:36:06,1,70000000,21547,4582
09/03/2013 06:36:42,1,70000000,21451,4607
09/03/2013 06:37:18,1,70000000,21486,4538
09/03/2013 06:37:54,1,70000000,21923,4527
09/03/2013 06:38:29,1,70000000,21120,4555
09/03/2013 06:39:05,1,70000000,21575,4518
09/03/2013 06:39:42,1,70000000,21932,4857
09/03/2013 06:40:18,1,70000000,21985,4496
09/03/2013 06:40:53,1,70000000,21830,4531
09/03/2013 06:41:35,1,80000000,25795,5290
09/03/2013 06:42:17,1,80000000,25924,5247
09/03/2013 06:42:58,1,80000000,25170,5284
09/03/2013 06:43:40,1,80000000,25822,5238
09/03/2013 06:44:21,1,80000000,24963,5318
09/03/2013 06:45:02,1,80000000,24970,5277
09/03/2013 06:45:42,1,80000000,25001,5077
09/03/2013 06:46:23,1,80000000,24980,5277
09/03/2013 06:47:04,1,80000000,25054,5457
09/03/2013 06:47:45,1,80000000,24989,5267
09/03/2013 06:48:30,1,90000000,27486,5777
09/03/2013 06:49:15,1,90000000,27668,6139
09/03/2013 06:50:00,1,90000000,27346,6198
09/03/2013 06:50:46,1,90000000,27628,6205
09/03/2013 06:51:32,1,90000000,28307,6030
09/03/2013 06:52:17,1,90000000,27903,5863
09/03/2013 06:53:03,1,90000000,28598,5650
09/03/2013 06:53:48,1,90000000,27547,5663
09/03/2013 06:54:33,1,90000000,27790,5715
09/03/2013 06:55:19,1,90000000,28351,5696
09/03/2013 06:56:09,1,100000000,29940,7547
09/03/2013 06:57:00,1,100000000,31636,6802
09/03/2013 06:57:50,1,100000000,30202,6868
09/03/2013 06:58:40,1,100000000,30708,6886
09/03/2013 06:59:30,1,100000000,30304,6852
09/03/2013 07:00:21,1,100000000,31074,6878
09/03/2013 07:01:11,1,100000000,30802,6779
09/03/2013 07:02:01,1,100000000,30041,7621
09/03/2013 07:02:51,1,100000000,30573,6898
09/03/2013 07:03:42,1,100000000,30371,6856
09/03/2013 07:03:44,2,1000,21,17
09/03/2013 07:03:46,2,1000,16,17
09/03/2013 07:03:48,2,1000,19,20
09/03/2013 07:03:50,2,1000,18,21
09/03/2013 07:03:52,2,1000,16,19
09/03/2013 07:03:54,2,1000,17,21
09/03/2013 07:03:55,2,1000,17,20
09/03/2013 07:03:57,2,1000,18,20
09/03/2013 07:03:59,2,1000,16,18
09/03/2013 07:04:01,2,1000,16,20
09/03/2013 07:04:03,2,2000,20,32
09/03/2013 07:04:05,2,2000,18,35
