,T,N,SortTime,CombineTime,
8/21/2013 12:08,32,400,9,29,29
8/21/2013 12:08,32,400,8,30,30
8/21/2013 12:08,32,400,10,19,19
8/21/2013 12:08,32,400,10,28,28
8/21/2013 12:08,32,400,12,104,104
8/21/2013 12:08,32,400,8,29,29
8/21/2013 12:08,32,500,43,78,78
8/21/2013 12:08,32,500,7,33,33
8/21/2013 12:08,32,500,28,68,68
8/21/2013 12:08,32,500,27,27,27
8/21/2013 12:08,32,500,8,21,21
8/21/2013 12:08,32,500,11,21,21
8/21/2013 12:08,32,500,10,35,35
8/21/2013 12:08,32,500,25,22,22
8/21/2013 12:08,32,500,20,83,83
8/21/2013 12:08,32,500,8,19,19
8/21/2013 12:08,32,600,23,66,66
8/21/2013 12:08,32,600,28,26,26
8/21/2013 12:08,32,600,23,27,27
8/21/2013 12:08,32,600,11,27,27
8/21/2013 12:08,32,600,14,22,22
8/21/2013 12:08,32,600,17,20,20
8/21/2013 12:08,32,600,8,22,22
8/21/2013 12:08,32,600,8,24,24
8/21/2013 12:08,32,600,54,69,69
8/21/2013 12:08,32,600,19,26,26
8/21/2013 12:08,32,700,23,27,27
8/21/2013 12:08,32,700,17,28,28
8/21/2013 12:08,32,700,9,79,79
8/21/2013 12:08,32,700,17,26,26
8/21/2013 12:08,32,700,8,25,25
8/21/2013 12:08,32,700,9,25,25
8/21/2013 12:08,32,700,8,32,32
8/21/2013 12:08,32,700,9,29,29
8/21/2013 12:08,32,700,91,59,59
8/21/2013 12:08,32,700,11,30,30
8/21/2013 12:08,32,800,24,55,55
8/21/2013 12:08,32,800,68,35,35
8/21/2013 12:08,32,800,17,29,29
8/21/2013 12:08,32,800,18,30,30
8/21/2013 12:08,32,800,9,33,33
8/21/2013 12:08,32,800,10,38,38
8/21/2013 12:08,32,800,21,32,32
8/21/2013 12:08,32,800,20,31,31
8/21/2013 12:08,32,800,9,79,79
8/21/2013 12:08,32,800,11,28,28
8/21/2013 12:09,32,900,9,33,33
8/21/2013 12:09,32,900,12,28,28
8/21/2013 12:09,32,900,13,34,34
8/21/2013 12:09,32,900,10,29,29
8/21/2013 12:09,32,900,16,30,30
8/21/2013 12:09,32,900,8,92,92
8/21/2013 12:09,32,900,13,31,31
8/21/2013 12:09,32,900,13,45,45
8/21/2013 12:09,32,900,117,44,44
8/21/2013 12:09,32,900,114,36,36
8/21/2013 12:09,64,100,102,15,15
8/21/2013 12:09,64,100,25,12,12
8/21/2013 12:09,64,100,147,57,57
8/21/2013 12:09,64,100,16,11,11
8/21/2013 12:09,64,100,20,12,12
8/21/2013 12:09,64,100,63,10,10
8/21/2013 12:09,64,100,10,76,76
8/21/2013 12:09,64,100,23,10,10
