t,n,SortTime,CombineTime,TotalTime
8,8000,4962159,688541,5650700
8,8000,4757944,946367,5704311
8,8000,4517753,685668,5203421
8,8000,5390054,976017,6366071
8,8000,5939262,672259,6611521
8,8000,6167083,958594,7125677
8,8000,5572073,685023,6257096
8,8000,5203317,939519,6142836
8,8000,5082147,933888,6016035
8,8000,5281001,933684,6214685
8,8000,4478057,970608,5448665
8,8000,5127693,971856,6099549
8,8000,5046360,948325,5994685
8,9000,5575934,1074083,6650017
8,9000,5089563,743453,5833016
8,9000,5719512,1058883,6778395
8,9000,4645678,1051138,5696816
8,9000,4920342,761995,5682337
8,9000,6086823,762684,6849507
8,9000,5032854,741434,5774288
8,9000,5684292,1055736,6740028
8,9000,5523203,760917,6284120
8,9000,4774570,751284,5525854
8,9000,4822969,1048831,5871800
8,9000,4785944,1053499,5839443
8,9000,5910628,1059066,6969694
8,9000,4367697,1049719,5417416
8,9000,4681844,766890,5448734
8,9000,4820457,799242,5619699
8,9000,5278688,1047962,6326650
8,9000,4793301,1051504,5844805
8,9000,4737478,759382,5496860
8,9000,4963665,1047325,6010990
8,9000,4808933,761715,5570648
8,9000,4512052,1046703,5558755
8,9000,5109614,889443,5999057
8,9000,5064335,1056018,6120353
8,9000,5587117,1054119,6641236
8,9000,5210075,826340,6036415
8,9000,5799727,1070768,6870495
8,9000,4506473,1059234,5565707
8,9000,5135799,1043800,6179599
8,9000,4637336,806697,5444033
8,9000,4557595,1060647,5618242
8,9000,4572279,1056855,5629134
8,9000,4842059,1076285,5918344
8,9000,5841001,1056489,6897490
8,9000,4914400,825244,5739644
8,9000,5056701,753283,5809984
8,9000,6003001,1050211,7053212
8,9000,6268312,1074149,7342461
8,9000,5241116,775463,6016579
8,9000,4761554,747226,5508780
8,9000,5815970,1089468,6905438
8,9000,4868407,767493,5635900
8,9000,5841814,1058946,6900760
8,9000,5284087,1048102,6332189
8,9000,4858733,1049437,5908170
8,9000,5111245,753751,5864996
8,9000,5401190,768135,6169325
8,9000,5036959,917443,5954402
8,9000,4638287,752532,5390819
8,9000,5536644,1045678,6582322
8,9000,5239075,892569,6131644
8,9000,4796933,1063116,5860049
8,9000,5004986,752907,5757893
8,9000,5047253,1041214,6088467
8,9000,5032396,1039385,6071781
8,9000,4671780,797925,5469705
8,9000,5000802,1059485,6060287
8,9000,5023286,1052862,6076148
8,9000,5162176,1055277,6217453
8,9000,4961598,1046356,6007954
8,9000,4420958,1051839,5472797
8,9000,4844045,752962,5597007
8,9000,4788306,1047550,5835856
8,9000,5503104,783599,6286703
8,9000,5436782,1040414,6477196
8,9000,6395309,762717,7158026
8,9000,4877265,847284,5724549
8,9000,5175572,1052914,6228486
8,9000,4782199,745093,5527292
8,9000,4788324,1071053,5859377
8,9000,4873113,761169,5634282
8,9000,5121916,1062837,6184753
8,9000,5279209,743792,6023001
8,9000,6244974,1052688,7297662
8,9000,5498266,742274,6240540
8,9000,4957660,1049125,6006785
8,9000,4569966,1051864,5621830
8,9000,5468274,1050039,6518313
8,9000,4640392,924984,5565376
8,9000,4802294,1074653,5876947
8,9000,5172924,773906,5946830
8,9000,4855324,756378,5611702
8,9000,4943108,1040674,5983782
8,9000,5441807,787915,6229722
8,9000,4905517,1052058,5957575
8,9000,5056796,741143,5797939
8,9000,4895516,1061781,5957297
8,9000,4997940,754747,5752687
8,9000,5093511,805995,5899506
8,9000,4729366,1056931,5786297
8,9000,5995009,1064811,7059820
8,9000,4996032,1046620,6042652
8,9000,5651918,932260,6584178
8,9000,5003706,742145,5745851
8,9000,4523416,1076318,5599734
8,9000,4760661,762696,5523357
8,9000,5227714,1080092,6307806
8,9000,5026210,750703,5776913
8,9000,5083170,1039649,6122819
8,9000,4879681,1063800,5943481
8,9000,5734493,794212,6528705
8,9000,4707141,1050835,5757976
8,9000,4799044,739003,5538047
8,9000,4970312,1059018,6029330
8,9000,5426346,1064178,6490524
8,9000,5135257,749203,5884460
8,9000,5258189,743608,6001797
8,9000,4850894,1063560,5914454
8,9000,5132019,752889,5884908
8,9000,5046102,899932,5946034
8,9000,4758728,737093,5495821
8,9000,5141063,733631,5874694
